Dispatching_base_num,Pickup_date,Affiliated_base_num,locationID
B02617,02-05-2015 21:43,B02764,237
B02682,20-01-2015 19:52,B02682,231
B02617,19-03-2015 20:26,B02617,161
B02764,10-04-2015 17:38,B02764,107
B02764,23-03-2015 07:03,B00111,140
B02617,03-05-2015 19:42,B02617,87
B02682,14-01-2015 20:21,B02764,125
B02764,14-05-2015 15:52,B02764,68
B02617,13-03-2015 21:18,B02617,163
B02764,13-06-2015 22:12,B02682,235
B02764,21-02-2015 08:12,B02764,112
B02764,23-01-2015 16:54,B02764,233
B02764,15-01-2015 18:18,B02764,231
B02682,11-04-2015 08:13,B02682,163
B02764,25-04-2015 12:45,B01087,262
B02617,20-02-2015 17:25,B02617,132
B02764,07-05-2015 10:11,B02764,141
B02617,11-02-2015 17:12,,170
B02682,10-06-2015 10:30,B02682,226
B02617,02-02-2015 14:59,B02617,68
B02598,25-04-2015 17:52,B02598,42
B02764,28-03-2015 10:23,B01970,231
B02617,27-05-2015 19:40,B02617,48
B02682,16-04-2015 20:57,B02682,161
B02764,02-04-2015 23:18,B02764,158
B02617,18-01-2015 11:56,B02617,148
B02764,16-01-2015 18:24,B02764,186
B02764,18-01-2015 18:07,B02764,246
B02598,20-05-2015 11:20,B02598,25
B02764,27-02-2015 22:48,B02764,164
B02617,03-01-2015 20:16,B02617,107
B02764,26-01-2015 14:41,B02682,125
B02764,06-06-2015 19:51,B02729,170
B02764,24-02-2015 20:12,B02764,97
B02764,31-01-2015 19:10,B02764,237
B02764,12-04-2015 17:28,B01998,138
B02764,12-01-2015 14:08,B02764,87
B02764,13-02-2015 21:20,B02682,68
B02764,20-02-2015 08:09,B02764,76
B02682,07-03-2015 11:28,B02682,141
B02598,16-01-2015 11:01,B02774,163
B02764,22-03-2015 12:47,B02725,163
B02598,02-02-2015 16:42,B02598,186
B02764,20-03-2015 23:50,B02764,143
B02765,08-02-2015 20:55,B02765,200
B02598,01-04-2015 16:54,B02682,238
B02764,06-02-2015 21:56,B02617,239
B02764,14-02-2015 11:52,B02764,144
B02764,01-06-2015 13:35,B02764,68
B02764,28-02-2015 16:39,B02764,170
B02764,27-01-2015 15:18,B02764,186
B02598,16-04-2015 16:44,B02598,186
B02764,25-01-2015 00:30,B02764,246
B02765,12-04-2015 09:11,B02765,112
B02682,07-05-2015 07:18,B02774,232
B02598,16-06-2015 13:56,B02682,162
B02617,02-06-2015 00:56,B02617,68
B02764,08-03-2015 19:33,B02682,237
B02765,14-05-2015 17:49,B02765,236
B02764,11-02-2015 19:44,B02764,113
B02598,14-06-2015 23:24,B02598,158
B02765,02-04-2015 20:26,B02765,163
B02764,19-01-2015 21:15,B00381,229
B02682,12-05-2015 23:52,B02682,15
B02617,29-04-2015 18:36,B02617,162
B02682,22-05-2015 07:29,B02682,4
B02617,23-01-2015 08:57,B02617,40
B02764,24-04-2015 18:24,B02764,231
B02764,07-06-2015 02:49,B02764,112
B02764,20-05-2015 22:23,B02764,141
B02598,23-02-2015 17:28,B02598,144
B02764,09-01-2015 10:25,B02764,107
B02598,07-03-2015 14:32,B02598,231
B02764,01-05-2015 04:40,B02764,49
B02682,12-04-2015 08:33,B00477,237
B02764,27-01-2015 21:29,B01949,161
B02598,25-02-2015 21:31,,148
B02617,28-03-2015 12:55,B02617,163
B02764,25-04-2015 16:49,B01949,148
B02764,08-02-2015 23:05,B02764,106
B02617,05-03-2015 09:49,B02617,140
B02617,18-05-2015 05:27,B02617,87
B02764,06-05-2015 14:31,B02764,231
B02765,14-03-2015 21:22,B02765,141
B02764,10-04-2015 18:00,B02764,100
B02764,09-03-2015 19:30,B02764,79
B02682,22-06-2015 21:10,B02682,125
B02764,12-04-2015 18:05,B00272,231
B02765,20-02-2015 00:37,B02765,68
B02682,31-05-2015 19:52,B00271,141
B02765,04-05-2015 09:31,B00014,233
B02682,23-01-2015 06:48,,231
B02682,12-01-2015 23:16,B02682,114
B02598,12-01-2015 07:54,B02598,155
B02617,28-06-2015 07:20,B02617,164
B02512,12-03-2015 13:45,B02512,141
B02617,12-01-2015 22:34,B02617,237
B02682,16-06-2015 18:54,B02682,165
B02617,01-06-2015 13:13,B02617,237
B02617,14-05-2015 08:31,B02617,149
B02765,03-01-2015 12:53,B02518,162
B02598,26-05-2015 21:43,B02598,197
B02764,12-06-2015 06:26,B02764,239
B02764,20-02-2015 12:15,B02764,4
B02682,04-06-2015 20:46,B02682,114
B02598,28-02-2015 20:30,B02598,74
B02598,10-03-2015 19:38,B02598,162
B02682,18-04-2015 22:57,B02729,211
B02764,24-01-2015 23:35,B02764,112
B02617,13-05-2015 18:59,B02617,170
B02764,27-05-2015 01:02,B02216,68
B02598,26-05-2015 23:17,B02765,42
B02764,18-06-2015 22:00,B02764,113
B02617,04-02-2015 19:08,B02765,237
